1,"Soul spice, Ambegaon",The food quality is so so. The chairs coushions looked dirty. First time I learnt that Kinley bottled water is being short filled and sealed. The Dec 2017 stock bottles were served in mid March 2018.,2,
2,"Aangan, Dhankawdi","Once you visit, you will visit always. Good food, great taste, kind and timely service.",3,
3,"Soul spice, Ambegaon","The hotel provides tasteful, spicy n yummy food and they provide good service. Here, all type of options are available in food. Special dishes are also available. The place is better for dating it is also very clean",1,
4,"Blue nile, Camp",very bad restaurant. unhealthy food and unclean environment,4,
5,"Soul spice, Ambegaon","Didn't like food ,dirty smell also and had stomachache next day... Won't refer to anyone",3,
6,"Soul spice, Ambegaon","Ambience is very nice. Clean everything.Food quality is also good.,""4
7,""Soul spice, Ambegaon",The ambience and service is nice and clean. The service is very quick. Food is top class and quantity is also good. A great vareity of seafood and dedicated menu for seafood. After food we were served complimentary panshots which was awesome. Highly recommended !!,2
8,"Ambrosia, Chandni chowk",Ambiance is clean and tidy. Environment is hygienic. Place is great for parties!,3,
9,"Soul spice, Ambegaon","Please don't visit here, this place serves an average quality food & service but charges very high. Better spend that same amount of money somewhere better place. The chairs were also dirty",3,
10,"Blue nile, Camp",my friend suggested this restaurant to me. she said it has awesome food. but when i visited this place all i could see is stale food and unhygienic place. worst hotel ever.,1,
11,"Aangan, Dhankawdi","I'm 35 right now. I have tasted variety of food at different places but this hotel is something else. I have never seen a hotel this much clean and the food oh my god, it's lovely. Wonderful wonderful wonderful. ",2,
12,"Soul spice, Ambegaon","Amazing food. Both veg and nonveg. Nice ambience. Very cooperative staff and cook too. Over all amazing food experience. The place was also awesome and clean,""4
13,""Soul spice, Ambegaon",Good level of cleanliness. Taste of food is good,3
14,"Soul spice, Ambegaon",Its a nice family restaurant. The ambiance is good. The food quality as well as the service is good. No complaints. The restaurant is less crowded. So you can have a nice and quiet environment to have you food. This is the only good clean restaurant you can find in this area.,3,
15,"R K Biryani House, Dhankawdi",My first visit to this hotel was good... But yesterday's food was okay.. And also table was dirty.. And for long time nobody came for clean up,4,
16,"Blue nile, Camp",Place was on my wishlist since long time.Very famous restaurant around camp.Everything from service to food to ambience is spot on.Of all the restaurant i have visited this is the fasted service I have experienced.Anything you order i presented within two mins.Their manager is very polite.The owner of the hotel personally keeps am eye on the things going around.Coming to the food blue nile chicken was perfectly cooked with ample chicken pieces.Nan was one of the best I have had.Coming to their famous biryani ....BEST I have had in a long time...though to some contrary opinion that the taste has taken a beaten.,2,
17,"Blue nile, Camp"," I seriously had high expectations from this place after reading its reviews. I ordered chicken seekh kebabs which were extreeemely dry,not spicy and just not good!!! I later ordered chicken kolhapuri hoping it to b good atleast but nope it wasn't that good. Later ordered murgh biryani which wasn't spicy,actually I'm disappointed. I paid for nothing! ",1,
18,"Soul spice, Ambegaon","A good ambience, courteous stewards and excellent food. I would have never imagined such an experience in the surrounding areas of Katraj, Ambegaon and Katraj. This one surprised me. Initially hesitant to go, but once in I liked the whole experience",2,
19,"Aangan, Dhankawdi","Nope. Such a disgrace to a hotel. I mean come on, i saw two rats running underneath my table and it scared my wife and my children. Do not go there I'm telling you.",2,
20,"Blue nile, Camp",Chicken Biryani was amazing. Perfect flavour. Loved it. Chicken reshmi kebab was not great neither falooda ice cream. Ambience is nice. More suited for a family lunch or dinner. Service is quick. Recommended for Biryanis! ,3,
21,"Soul spice, Ambegaon",Need improvement in terms of infrastructure and cleanliness for the price they charge,2,
22,"Blue nile, Camp","My favourite is surely the roasted or tandoori pomfret, chicken tangdi kebab , biriyani and the caramel custard. A true landmark of the famous Iranian food culture of Pune.. a must visit if you are in Pune .. ",3,
23,"Blue nile, Camp",If you love Briyani and you are in Pune rush to this place now. Chicken or Mutton both of them are fabulous. I like the chicken biryani more of here. I was recommended this place by a frend of mine and after having my first bite I called him and said thank u. Great place. Might face issue with table so do call before going there. ,1,
24,"Kolhapuri, Katraj",It is very clean place...really very much hygine. It gives you freedom as well as pleasure to eat without any worries. Even thier food quality is also best.,2,
25,"Aangan, Dhankawdi",My friend suggested me this place and i was kind of surprised because  i never knew that such wonderful place around my apartment. Food is unbelievably delicious and such a clean place it is.,4,
26,"Aangan, Dhankawdi",Unhygienic and costly place. Not a good service,5,
27,"Aangan, Dhankawdi",My friend is chef in this hotel and i can definitely say that food here is so delicious and yummy. Try atleast once. ,7,
28,"Blue nile, Camp"," One of the rustic old favourite restaurant in town. Service here is amazing. Ambiance is good but a bit noisy sometimes. You get a good feel here with some awesome food. Biryani here is out of the world, the meat melts in your mouth. Recommend for a lovely dinner. ",2,
29,"Blue nile, Camp",Its always a pleasure to visit this outlet in Camp Area. I prefer Chicken Biryani and Seafood Starters. Service is so fast and the staff is prompt in service. And all dishes are pocket friendly. ,3,
30,"Blue nile, Camp"," Rating it two for the dessert, ordered a flooda after lunch, the falooda was totally watery and had very less nuts, falooda etc. When we asked for cancellation the manager became a bit offensive and instead added a few spoons of falooda, but still let me tell you that’s not how a falooda is served. ",4,
