text,hygiene,,,,
Yes I do have to admit that every once in a while I have a lapse in judgement...and go into Wendy's.  I'm not sure what the worst thing about it is.  Is it the fact that this location emanates so much dirty that even with a renovation it would seep through?  It could be the wonderful design scheme that they use in every Wendy's I for one am not a big fan of soft focus photos of cheeseburgers.  There are some people that enjoy a location like this I can barely stomach a frosty and most of their other meal options can't make it past my lips.  Saving some money isn't worth it and square burgers don't taste any better.the straight-cheap burgers and other random fast food.What's good-cheapThe  slap-horrible indigestion from eating bad food.  that's what we call karma folks.,no,,,,
Do you want to get haggled by a drunk homeless person?  Are you in Downtown Crossing and you need to use a restroom comparable to a port-a-potty?  Do you enjoy eating at dirty tables and feeling like it would be more sanitary to have your meal outside?  Is there no better restaurant smell in the world than urine?  Would you like service from people who enjoy working at this Wendy's as much as you enjoy getting teeth pulled?    THIS IS YOUR SPOT.,no,,,,
My stomach turns a little every time i think of this place. Its a place for CHEAP chinese. and i mean dirt cheap. something 6 or 7 dollars at the mall is 3.50 here. Dayum thats cheap.But sometimes things can get iffy. Super greasy sometimes and its worse when i think of the curry chicken i think it is. Ive had better but not for the price. Price is not beatable. Food could be better. The place is also barely big enough to squeeze inStop by if ur in a megafuck rush or like me a little on the broke side.,no,,,,
Quick? Yes. Oily? Yes. Dirt cheap? Also yes.What exactly do you expect paying $2 for a box of noodles? Their staples are lo mein rice noodles fried rice stir fried chicken and stir fried veggies. There's one single line that goes in one end and immediately out another door making the takeout process even faster. In terms of how the food tastes it really depends on which day you come. I've noticed there are two chefs who rotate. There's also a sriracha bottle handy on top of the counter.It's fast and MSG is yummy but eat at your own caution.,no,,,,
"Tiny simple fast easy and cheap.$2 small box $4 big box cash only. Choice of; white/fried rice Lo mein or rice noodles and 2 of what I assume is teriyaki chicken Tofu curry chicken and broccoli. Sometimes they throw in other items. I  feel as though the portions and how much of what you get is dependant upon which person is working. It isn't white meat chicken but its not bad tidy is good fresh big pieces of broccoli. Food is Always hot and does taste great especially for the price. Sometimes I just go in for the noodles and veggies and add my own chicken at home. I never paid attention to the name of this place before searching for it so I could review it. I have always recommended this place to my friends usually giving the street intersection and ""purple awning"" as my directions. I think its funny its called ding Ho restaurant it should be called ding Ho in and out because you literally walk in 3 feet get your food and walk out 5 feet all in a matter of 2-3 min if no one is in front of you. It's good fast dirt cheap Chinese and I've never felt sick after eating there which is more then I can say for some other establishments in Chinatown.",yes,,,,
First of all I'm sick of all these misplaced suburbanites dissing Downtown Crossing like it's the toughest hardest dirtiest place they have ever been to. This isn't Disneyland this is a city. There are all kinds of people and it can be dirty and diverse and you may even see a homeless person or a junkie but seriously it isn't dangerous or threatening or even close to some real tough areas b-fucking lieve me!  SO this place has the best customer service I have ever seen. You get a free falafel while you wait and the wait is minimal no matter how long the line is. The line alone speaks volumes. The falafel sandwich is awesome. The grape leaves rice everything is good. I had a lamb shank dinner once. Great! It's a take out counter so go somewhere else to eat like the Commons or Corner Mall. Really fresh food.Just be careful not to get mugged or killed.It's really scary. NOT,yes,,,,
Located inside a sketchy indoor mall more like a badly lit single corridor with a cell phone stall smoke show and cheap Chinese stall Falafel King is a popular food stall close to Downtown Crossing.  The two vertical spits were empty on Saturday.  Perhaps there are better days to go?  I wanted my shawerma to be carved/shaved off to order.  The menu includes falafel kebabs shawerma plates and wraps etc.Everyone seems to get a free falafel patty as soon as it's their turn to order.  That was nice of them.  The falafel was dense tender on the inside and dark brown and crispy on the outside.  I'm not the falafel expert that Dan B. is though. I had the chicken shawerma plate $6.95.  They give you a ton of food so it's definitely a good value: tabbouli hummus cucumbers lettuce pilaf 1 falafel patty chicken and half a pita.  The pita was paper thin and straight out of a plastic bag.  Disappointing.  The chicken pieces were dry with little flavor.  Very disappointing.  The pilaf was moist and perhaps the best thing on the plate or the falafel patty.  The tabbouli was very sour.  The hummus was average.  The super watery hot sauce wasn't spicy but it was sour too vinegar. There isn't any seating but there are some dirty looking counters inside. Technically there is one stool.,no,,,,
Hav-a-falafel Hav-a-falafel Hav-a-falafel then shut-up-a-you face....Instructions: 1 Find and enter super dirty sketchy weird pseudo food mall2 Walk past cheap nasty *insert negative adjectives* food places to find da King3 Stare longingly at falafels4 Accept free falafel from da King with a curtsy ladies or bow men....he is da King after all5 Place free falafel in your mouth masticate swallow not as dirty as it sounds6 Order7 Enjoy falafel wrap8 Do a dance and tell your friends,yes,,,,
Delicious and fresh tasting falafel wraps. The veggies were nice and crisp and the price was great for a quick bite to eat. Grab your food and head to the park that's walking distance. The place looks shady and dirty but the people are super nice and the place is quite well maintained. I can tell you I'll be back before my vacation is over that's for sure!,yes,,,,
I had the pastrami which was good. My son had the chef salad which was lame. He asked for Caesar dressing but I don't think it was. It tasted odd almost sour as in bad. When my son asked for blue cheese instead the guy looked at him with a sour puss. The place is kinda dirty too and the bathroom is nasty. Oh and they charge extra for cole slaw with your $12 sandwich. Seriously?,no,,,,
